Productname,price,color,available or not
Lakme Color Crush Nail Art - U4,₹165,"Select ,SHADE, (,29,) ,U4,T3,M16 Mint Blue,M15 Purple,M11 Classic Silver,P2,S5,F3,M3 Original Nude,M18 Deep Olive,G4,C2,M4 Vermilion Red,P1,M10 Fern Green,M5 Burgundy,M2 Cocoa Nude,M9 Fuschia,M20 Candy Pink,M1 Ox Blood,M14 Sand Blue,T2,G12,G9,S1,S8,F4,P3,F1",available
Lakme Sun Expert Tinted Sunscreen SPF 50 PA +++,₹518,"Select ,SIZE, (,2,) ,50ml,100ml",available
Lakme Sun Expert Ultra Matte SPF 40 Pa+++ Compact,₹271,,available
Lakme Eyeconic Kajal - Classic Brown,₹225,"Select ,SHADE, (,9,) ,Classic Brown,White,Turquoise,Regal Green,Royal Blue,Forest Green,Midnight Blue,Sparkling Black,Deep Black",available
Lakme Eyeconic Kajal - Twin Pack,₹305,,available
Lakme Insta Eye Liner - Black,₹150,"Select ,SHADE, (,4,) ,Black,Blue,Golden,Green",available
Lakme 9 to 5 Primer + Gloss Nail Color - Lime Treat,₹190,"Select ,SHADE, (,51,) ,Lime Treat,Peach Blossom,Grey Cloud,Honey Love,Yellow Submarine,Sky Blue,Blush Pink,Lush Lavender,Marble White,Minty Green,Scarlet Blaze,Brown Latte,Mulberry Bush,Pink Pace,Red Alert,Teal Deal,Blue Scape,Magenta Mix,Cherry Red,Brown Sandcastle,Summer Blue,Nude Warmth,Mauve Macaroon,Pink Paisley,Indigo Ink,Ruby Rush,Caramel Case,Blush Punch,Mustard Master,Berry Business,Lilac Link,Pink Flash,Emerald Power,Green Pistachio,Apple Blossom,Smokey Crimson,Sea Blue,Candy Peach,Mint Twist,Coral Haze,Blue Ocean,Desert Rose,Red Carnival,Lavender Breeze,Turquoise Wave,Purple Magic,Caribbean Coral,Peach Puff,Russian Mauve,Perky Pink,Staycation Nude",available
Lakme 9 To 5 CC Mousse - Beige,₹432,"Select ,SHADE, (,4,) ,Beige,Almond,Bronze,Frappe",available
Lakme 9 To 5 Primer + Matte Perfect Cover Foundation - W120 Warm Creme,₹341,"Select ,SHADE, (,20,) ,W120 Warm Creme,C100 Cool Ivory,C140 Cool Rose,W160 Warm Sand,W180 Warm Natural,N200 Neutral Nude,N220 Neutral Medium,W240 Warm Beige,N260 Neutral Honey,C280 Cool Tan,C300 Cool Cinnamon,W320 Warm Caramel,N340 Neutral Almond,N360 Neutral Chestnut,C380 Cool Walnut,C390 Cool Cocoa,Warm Light,Neutral Light,Warm Wood,Cool Mocha",available
Lakme 9 to 5 Complexion Care Cream SPF 30 PA++ - Beige,₹110,"Select ,SHADE, (,3,) ,Beige,Honey,Bronze",available
Lakme Absolute Perfect Radiance Serum With 98% Pure Niacinamide For 2X Skin Brightening,₹539,"Select ,SIZE, (,2,) ,30ml,15ml",available
Lakme Absolute Matte Melt Liquid Lip Color - Mauve Mallow,₹455,"Select ,SHADE, (,25,) ,Mauve Mallow,Orange Sunshine,Pink Silk,Mulberry Feast,Wine N Dine,Sour Cherry,Tangerine Pout,Mocha Shot,Revenge Red,Starlet Pink,Mild Mauve,Rich Magenta,Earthy Brown,Royal Rouge,Firey Pink,Blushing Brink,Firestarter Red,Rhythmic Red,Pink Drama,Brown Tan,Rose Love,Nude Sensation,Purple Underground,Peach Rose,Coral Reef",available
